date,home_team,away_team,winner,first_shooter
2000-02-04,Romania,Georgia,Romania,
2000-02-12,South Africa,Tunisia,South Africa,South Africa
2000-02-13,Nigeria,Cameroon,Cameroon,Nigeria
2000-02-19,United States,Colombia,Colombia,United States
2000-03-19,Suriname,Saint Lucia,Suriname,
2000-04-29,British Virgin Islands,Sint Maarten,British Virgin Islands,
2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,
2000-05-10,Maldives,Sri Lanka,Sri Lanka,
2000-05-11,Senegal,Mali,Senegal,
2000-05-20,Malawi,Angola,Angola,
2000-05-21,Barbados,Cuba,Barbados,
2000-06-04,France,Japan,France,France
2000-06-07,Iran,Egypt,Egypt,
2000-06-11,Lesotho,Zambia,Lesotho,
2000-06-29,Netherlands,Italy,Italy,Italy
2000-07-14,Libya,Chad,Libya,
2000-07-16,Mozambique,Lesotho,Lesotho,
2000-09-03,Togo,Sierra Leone,Togo,
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,
2000-10-28,Kenya,Uganda,Uganda,
2000-12-02,Ethiopia,Rwanda,Ethiopia,
2001-01-17,China PR,Egypt,Egypt,
2001-01-27,South Korea,Paraguay,South Korea,
2001-02-11,Eswatini,Zambia,Eswatini,
2001-07-12,Ynys Môn,Jersey,Ynys Môn,
2001-07-13,Guernsey,Ynys Môn,Guernsey,
2001-07-29,Uruguay,Honduras,Honduras,Uruguay
2001-08-03,China PR,North Korea,North Korea,
2001-08-03,Kuwait,Trinidad and Tobago,Kuwait,
2001-08-05,Kuwait,North Korea,North Korea,
2001-08-18,Zambia,Angola,Angola,
2001-10-24,Kenya,Uganda,Kenya,
2001-10-24,Tanzania,DR Congo,Tanzania,
2001-12-18,Ethiopia,Burundi,Ethiopia,
2002-01-06,Martinique,Haiti,Martinique,
2002-01-26,Canada,Martinique,Canada,Canada
2002-01-27,Mexico,South Korea,South Korea,South Korea
2002-01-30,United States,Canada,United States,United States
2002-02-10,Senegal,Cameroon,Cameroon,Cameroon
2002-02-12,Cyprus,Switzerland,Cyprus,
2002-02-15,China PR,Slovenia,Slovenia,
2002-02-16,Thailand,North Korea,North Korea,
2002-03-30,Botswana,South Africa,South Africa,
2002-05-17,Russia,Belarus,Belarus,
2002-05-19,Russia,Serbia,Serbia,
2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland
2002-06-22,South Korea,Spain,South Korea,South Korea
2002-07-21,South Africa,Madagascar,South Africa,
2002-09-05,Iraq,Iran,Iraq,
2002-09-07,Syria,Iran,Iran,
2002-09-17,Iran,Morocco,Iran,
2002-09-19,Iran,Paraguay,Iran,
2002-10-23,Kenya,South Africa,Kenya,
2002-10-26,Tanzania,South Africa,South Africa,
2002-10-26,Kenya,Uganda,Kenya,
2002-11-19,South Africa,Senegal,Senegal,
2002-12-27,Niger,Burkina Faso,Burkina Faso,
2002-12-29,Niger,Mali,Niger,
2003-01-20,Bangladesh,Maldives,Bangladesh,
2003-02-04,Uruguay,Iran,Uruguay,Iran
2003-03-07,Benin,Niger,Benin,
2003-03-15,Guadeloupe,French Guiana,Guadeloupe,
2003-03-22,Mozambique,Lesotho,Mozambique,
2003-03-27,Tunisia,Ghana,Tunisia,
2003-03-30,Ghana,Madagascar,Ghana,
2003-05-24,Botswana,Malawi,Malawi,
2003-07-09,New Caledonia,Vanuatu,New Caledonia,
2003-08-16,Malawi,Zambia,Malawi,
2003-09-24,Algeria,Gabon,Algeria,
2003-09-26,Algeria,Burkina Faso,Algeria,
2003-12-08,Kenya,Rwanda,Rwanda,
2003-12-08,Sudan,Uganda,Uganda,
2004-02-11,Tunisia,Nigeria,Tunisia,Tunisia
2004-02-19,Kazakhstan,Armenia,Kazakhstan,
2004-02-28,Lesotho,Botswana,Botswana,
2004-06-23,Jordan,Syria,Syria,
2004-06-24,Portugal,England,Portugal,England
2004-06-26,Sweden,Netherlands,Netherlands,Sweden
2004-07-18,Angola,Botswana,Angola,
2004-07-21,Uruguay,Brazil,Brazil,Brazil
2004-07-25,Argentina,Brazil,Brazil,Argentina
2004-07-30,Uzbekistan,Bahrain,Bahrain,Bahrain
2004-07-31,Japan,Jordan,Japan,Japan
2004-08-03,China PR,Iran,China PR,China PR
2004-10-22,Nigeria,Ecuador,Ecuador,
2004-10-24,Zimbabwe,Zambia,Zambia,
2004-11-20,Zambia,Angola,Angola,
2004-11-30,Thailand,Estonia,Thailand,
2004-11-30,Singapore,Hong Kong,Hong Kong,
2004-12-02,Thailand,Slovakia,Slovakia,
2004-12-03,Bahrain,Latvia,Bahrain,
2004-12-03,Finland,Oman,Oman,
2004-12-22,Ethiopia,Kenya,Ethiopia,
2004-12-24,Qatar,Oman,Qatar,
2005-02-08,Cyprus,Austria,Cyprus,
2005-02-09,Austria,Latvia,Latvia,
2005-02-27,Costa Rica,Honduras,Costa Rica,
2005-04-16,Namibia,Botswana,Botswana,
2005-05-15,Jersey,Guernsey,Guernsey,
2005-06-26,Mexico,Argentina,Argentina,Mexico
2005-07-17,South Africa,Panama,Panama,Panama
2005-07-24,United States,Panama,United States,Panama
2005-07-28,Kuwait,United Arab Emirates,United Arab Emirates,
2005-07-30,Egypt,United Arab Emirates,Egypt,
2005-08-13,South Africa,Zambia,Zambia,
2005-08-15,Ukraine,Israel,Israel,
2005-11-16,Australia,Uruguay,Australia,Australia
2005-12-10,Syria,Iraq,Iraq,
2005-12-10,Zanzibar,Uganda,Zanzibar,
2006-02-04,Nigeria,Tunisia,Nigeria,Nigeria
2006-02-04,Cameroon,Ivory Coast,Ivory Coast,Cameroon
2006-02-10,Egypt,Ivory Coast,Egypt,Egypt
2006-02-28,Finland,Kazakhstan,Kazakhstan,
2006-03-01,Finland,Belarus,Finland,
2006-04-29,Lesotho,Mozambique,Lesotho,
2006-04-30,Mauritius,Mozambique,Mozambique,
2006-05-21,Botswana,South Africa,Botswana,
2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus,
2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine
2006-06-30,Germany,Argentina,Germany,Germany
2006-07-01,England,Portugal,Portugal,Portugal
2006-07-09,Italy,France,Italy,Italy
2006-07-22,Namibia,Seychelles,Seychelles,
2007-04-29,Mozambique,Zimbabwe,Mozambique,
2007-05-06,Guernsey,Jersey,Jersey,
2007-05-26,Malawi,South Africa,South Africa,
2007-05-26,Eswatini,Mauritius,Mauritius,
2007-07-10,Uruguay,Brazil,Brazil,Brazil
2007-07-21,Japan,Australia,Japan,Australia
2007-07-22,Iran,South Korea,South Korea,South Korea
2007-07-25,Iraq,South Korea,Iraq,South Korea
2007-07-28,South Korea,Japan,South Korea,South Korea
2007-07-29,Botswana,Angola,Botswana,
2007-08-18,Mauritius,Mayotte,Mayotte,
2007-08-18,Madagascar,Réunion,Réunion,
2007-10-24,South Africa,Zambia,South Africa,
2008-05-05,Jersey,Guernsey,Jersey,
2008-06-20,Croatia,Turkey,Turkey,Croatia
2008-06-22,Spain,Italy,Spain,Spain
2008-07-27,Zambia,Zimbabwe,Zambia,
2008-09-30,New Caledonia,Martinique,Martinique,
2009-06-26,Provence,Sápmi,Sápmi,
2009-07-23,Costa Rica,Mexico,Mexico,Mexico
2009-10-28,Zimbabwe,South Africa,Zimbabwe,
2010-01-25,Zambia,Nigeria,Nigeria,Zambia
2010-05-21,Corsica,Gabon,Corsica,
2010-06-29,Paraguay,Japan,Paraguay,Paraguay
2010-07-02,Uruguay,Ghana,Uruguay,Uruguay
2010-09-22,French Guiana,Mayotte,Mayotte,
2010-09-23,Guadeloupe,New Caledonia,New Caledonia,
2010-09-26,Guadeloupe,Tahiti,Tahiti,
2010-09-29,New Caledonia,Tahiti,Tahiti,
2010-10-02,Réunion,Martinique,Martinique,
2011-01-25,Japan,South Korea,Japan,Japan
2011-02-08,Romania,Ukraine,Ukraine,
2011-02-09,Sweden,Ukraine,Ukraine,
2011-05-08,Guernsey,Jersey,Jersey,
2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands
2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica
2011-06-19,Panama,El Salvador,Panama,Panama
2011-06-29,Saare County,Åland Islands,Åland Islands,
2011-06-30,Isle of Man,Menorca,Menorca,
2011-07-12,Saint Lucia,Aruba,Saint Lucia,
2011-07-16,Argentina,Uruguay,Uruguay,Argentina
2011-07-17,Brazil,Paraguay,Paraguay,Brazil
2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay
2011-08-11,Mayotte,Mauritius,Mauritius,
2011-08-13,Seychelles,Mauritius,Seychelles,
2012-02-05,Gabon,Mali,Mali,Gabon
2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast
2012-06-03,Finland,Latvia,Latvia,Finland
2012-06-17,Mozambique,Tanzania,Mozambique,
2012-06-24,England,Italy,Italy,Italy
2012-06-27,Portugal,Spain,Spain,Spain
2012-08-25,Alderney,Sealand,Sealand,
2012-09-02,India,Cameroon,India,
2012-09-29,Réunion,Martinique,Réunion,
2012-10-13,Uganda,Zambia,Zambia,
2012-11-21,Argentina,Brazil,Brazil,Argentina
2013-01-23,Sweden,North Korea,Sweden,
2013-02-02,South Africa,Mali,Mali,South Africa
2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana
2013-06-27,Spain,Italy,Spain,Italy
2013-06-30,Uruguay,Italy,Italy,Uruguay
2013-07-13,Zimbabwe,Malawi,Zimbabwe,
2013-07-14,Angola,Lesotho,Lesotho,
2013-07-17,Zambia,South Africa,Zambia,
2014-05-05,Sealand,Chagos Islands,Chagos Islands,
2014-05-29,Latvia,Estonia,Latvia,Estonia
2014-06-04,Abkhazia,South Ossetia,South Ossetia,
2014-06-04,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,
2014-06-05,Padania,Abkhazia,Padania,
2014-06-05,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,
2014-06-07,Padania,Iraqi Kurdistan,Padania,
2014-06-08,County of Nice,Ellan Vannin,County of Nice,
2014-06-28,Brazil,Chile,Brazil,Brazil
2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica
2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica
2014-07-09,Netherlands,Argentina,Argentina,Netherlands
2015-01-23,Iran,Iraq,Iraq,Iran
2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan
2015-01-30,Curaçao,Aruba,Aruba,
2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea
2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana
2015-05-24,Zambia,Namibia,Namibia,
2015-05-24,South Africa,Botswana,Botswana,
2015-05-25,Mozambique,Malawi,Mozambique,
2015-05-27,South Africa,Malawi,Malawi,
2015-06-21,Ellan Vannin,Felvidék,Ellan Vannin,
2015-06-26,Argentina,Colombia,Argentina,Colombia
2015-06-27,Brazil,Paraguay,Paraguay,Brazil
2015-07-02,Gibraltar,Åland Islands,Åland Islands,
2015-07-04,Chile,Argentina,Chile,Chile
2015-07-19,Trinidad and Tobago,Panama,Panama,Panama
2015-07-25,United States,Panama,Panama,United States
2015-10-13,El Salvador,Guatemala,Guatemala,
2016-05-27,Corsica,Basque Country,Basque Country,
2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus,
2016-06-02,Iraqi Kurdistan,Padania,Padania,
2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina,
2016-06-03,Thailand,Syria,Thailand,
2016-06-03,Vietnam,Hong Kong,Vietnam,
2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia,
2016-06-03,Chagos Islands,Raetia,Raetia,
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan
2016-06-05,Abkhazia,Panjab,Abkhazia,
2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand
2016-06-17,Peru,Colombia,Colombia,Colombia
2016-06-18,Namibia,Botswana,Botswana,
2016-06-18,South Africa,Lesotho,South Africa,
2016-06-19,Zambia,Eswatini,Eswatini,
2016-06-22,Botswana,DR Congo,Botswana,
2016-06-25,Switzerland,Poland,Poland,Switzerland
2016-06-26,Argentina,Chile,Chile,Chile
2016-06-30,Poland,Portugal,Portugal,Portugal
2016-07-02,Germany,Italy,Germany,Italy
2016-08-01,Felvidék,Kárpátalja,Felvidék,
2017-01-11,Chile,Croatia,Chile,
2017-01-14,China PR,Croatia,China PR,
2017-01-28,Senegal,Cameroon,Cameroon,Senegal
2017-02-01,Burkina Faso,Egypt,Egypt,Egypt
2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja,
2017-06-09,Padania,Abkhazia,Padania,
2017-06-10,Northern Cyprus,Padania,Padania,
2017-06-28,Portugal,Chile,Chile,Chile
2017-06-29,Hitra,Western Isles,Western Isles,
2017-06-29,Greenland,Menorca,Greenland,
2017-07-01,Namibia,Lesotho,Lesotho,
2017-07-07,Tanzania,Lesotho,Tanzania,
2017-07-16,Thailand,Belarus,Thailand,
2018-03-21,South Africa,Angola,South Africa,
2018-03-21,Zambia,Zimbabwe,Zambia,
2018-03-22,Thailand,Gabon,Thailand,
2018-03-24,Angola,Zimbabwe,Angola,
2018-06-02,Zambia,Namibia,Zambia,
2018-06-03,Andorra,Cape Verde,Cape Verde,
2018-06-03,South Africa,Madagascar,Madagascar,
2018-06-03,Zimbabwe,Botswana,Zimbabwe,
2018-06-05,Matabeleland,Kabylia,Kabylia,
2018-06-06,Lesotho,Zimbabwe,Zimbabwe,
2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan,
2018-06-09,Panjab,Cascadia,Panjab,
2018-06-09,Padania,Székely Land,Padania,
2018-06-09,Northern Cyprus,Kárpátalja,Kárpátalja,
2018-07-01,Russia,Spain,Russia,Spain
2018-07-01,Croatia,Denmark,Croatia,Denmark
2018-07-03,Colombia,England,England,Colombia
2018-07-07,Russia,Croatia,Croatia,Russia
2019-01-20,Jordan,Vietnam,Vietnam,Vietnam
2019-01-21,Australia,Uzbekistan,Australia,Australia
2019-03-23,Oman,Singapore,Oman,
2019-05-11,Guernsey,Jersey,Jersey,
2019-06-01,Lesotho,Uganda,Lesotho,
2019-06-02,South Africa,Botswana,Botswana,
2019-06-02,Zambia,Malawi,Zambia,
2019-06-04,South Africa,Uganda,South Africa,
2019-06-05,Zimbabwe,Zambia,Zambia,
2019-06-06,Abkhazia,Western Armenia,Western Armenia,
2019-06-06,South Ossetia,Chameria,South Ossetia,
2019-06-07,Lesotho,Zimbabwe,Zimbabwe,
2019-06-07,South Africa,Malawi,South Africa,
2019-06-08,Abkhazia,Chameria,Abkhazia,
2019-06-09,Switzerland,England,England,England
